id,created_at,candidate,Banaban,Baybay,Binagbag,Encanto,Laog,Marungko,Niugan,Paltok,Pulong Yantok,San Roque,Sta. Cruz,Sta. Lucia,Sto. Cristo,Sulucan,Taboc
1,2025-05-11 23:49:23.002805+00,m1_jowar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025-05-12 00:33:02.341947+00,m2_ldl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
